date,track,venue,state
2023-03-02,Pakenham,Pakenham,VIC
2023-03-03,Ararat,Ararat,VIC
2023-03-03,Cairns,Cairns,QLD
2023-03-03,Pakenham,Pakenham,VIC
2023-03-03,Port Lincoln,Port Lincoln,SA
2023-03-03,Sunshine Coast,Sunshine Coast,QLD
2023-03-04,Bowen,Bowen,QLD
2023-03-04,Dalby,Dalby,QLD
2023-03-04,Eagle Farm,Eagle Farm,QLD
2023-03-04,Flemington,Flemington,VIC
2023-03-04,Gold Coast Poly,Gold Coast,QLD
2023-03-04,Gympie,Gympie,QLD
2023-03-04,Murray Bridge GH,Murray Bridge GH,SA
2023-03-04,Wangaratta,Wangaratta,VIC
2023-03-05,Bordertown,Bordertown,SA
2023-03-05,Colac,Colac,VIC
2023-03-05,Moonee Valley,Moonee Valley,VIC
2023-03-05,Sunshine Coast,Sunshine Coast,QLD
2023-03-07,Ballarat,Ballarat,VIC
2023-03-07,Rockhampton,Rockhampton,QLD
2023-03-08,Doomben,Doomben,QLD
2023-03-08,Sandown-Lakeside,Sandown,VIC
2023-03-08,Strathalbyn,Strathalbyn,SA
2023-03-09,Bendigo,Bendigo,VIC
2023-03-09,Pakenham,Pakenham,VIC
2023-03-09,Townsville,Townsville,QLD
2023-03-10,Ipswich,Ipswich,QLD
2023-03-10,Kilmore,Kilmore,VIC
2023-03-10,Pakenham,Pakenham,VIC
2023-03-11,Eagle Farm,Eagle Farm,QLD
2023-03-11,Edenhope,Edenhope,VIC
2023-03-11,Flemington,Flemington,VIC
2023-03-11,Gold Coast Poly,Gold Coast,QLD
2023-03-11,Innisfail,Innisfail,QLD
2023-03-11,Morphettville Parks,Morphettville,SA
2023-03-11,Toowoomba,Toowoomba,QLD
2023-03-11,Towong,Towong,VIC
2023-03-12,Balnarring,Balnarring,VIC
2023-03-12,Clare,Clare,SA
2023-03-12,Echuca,Echuca,VIC
2023-03-12,Stony Creek,Stony Creek,VIC
2023-03-12,Sunshine Coast,Sunshine Coast,QLD
2023-03-13,Mackay,Mackay,QLD
2023-03-13,Morphettville,Morphettville,SA
2023-03-13,Warrnambool,Warrnambool,VIC
2023-03-14,Ballarat,Ballarat,VIC
2023-03-14,Warwick,Warwick,QLD
2023-03-15,Eagle Farm,Eagle Farm,QLD
2023-03-15,Sandown-Hillside,Sandown,VIC
2023-03-16,Kyneton,Kyneton,VIC
2023-03-16,Pakenham,Pakenham,VIC
2023-03-16,Townsville,Townsville,QLD
2023-03-17,Ipswich,Ipswich,QLD
2023-03-17,Mt Gambier,Mt Gambier,SA
2023-03-17,Sale,Sale,VIC
2023-03-17,Terang,Terang,VIC
2023-03-18,Alexandra,Alexandra,VIC
2023-03-18,Doomben,Doomben,QLD
2023-03-18,Geelong,Geelong,VIC
2023-03-18,Gold Coast Poly,Gold Coast,QLD
2023-03-18,Moonee Valley,Moonee Valley,VIC
2023-03-18,Morphettville Parks,Morphettville,SA
2023-03-18,Mt Isa,Mt Isa,QLD
2023-03-18,Rockhampton,Rockhampton,QLD
2023-03-18,Toowoomba,Toowoomba,QLD
2023-03-19,Port Lincoln,Port Lincoln,SA
2023-03-19,Sunshine Coast,Sunshine Coast,QLD
2023-03-19,Swan Hill,Swan Hill,VIC
2023-03-19,Yarra Glen,Yarra Glen,VIC
2023-03-20,Chinchilla,Chinchilla,QLD
2023-03-21,Kilcoy,Kilcoy,QLD
2023-03-21,Mornington,Mornington,VIC
2023-03-22,Doomben,Doomben,QLD
